#id zspec zflag zphotz ra dec mag_sel
832526 0.5035 4.5 0.495 149.958206 2.407827 20.01
833048 0.4276 4.5 0.433 149.855392 2.33404 21.89
843676 0.4658 1.5 0.465 150.556458 2.668044 21.38
833109 0.7419 3.5 0.759 149.846863 2.310147 20.68
833257 1.0589 3.5 1.074 149.81662 2.300979 22.28
833387 0.2812 1.1 1.489 149.789368 2.405757 22.29
833548 0.8513 2.5 0.808 149.762878 2.421707 22.11
833683 0.57 3.5 0.591 149.73616 2.419121 22.36
833731 9.9999 0 0.136 149.723083 2.338282 21.37
837478 0.1049 3.1 0.015 150.370422 2.541744 19.55
833790 1.0293 1.5 1.003 149.711609 2.365231 21.78
833915 0 22.4 0.147 149.689896 2.348413 17.9
843871 0.4765 2.5 0.447 150.521439 2.745134 21.73
834182 0.4989 3.5 0.48 149.641388 2.374325 21.61
835454 0.7474 3.5 0.75 150.758911 2.512357 22.43
836404 0.4531 4.5 0.429 150.562531 2.500423 22.2
836801 0.9181 1.1 0.041 150.489792 2.543927 21.15
837050 0.4355 4.5 0.426 150.443268 2.496562 21.88
837604 0.9856 1.5 0.891 150.34491 2.576127 22.09
837612 0.7492 3.5 0.75 150.342316 2.575966 22.3
838032 0.7031 3.5 0.808 150.267807 2.529434 21.9
838164 0.7308 3.1 0.548 150.24205 2.565534 22.34
838276 0.4105 3.5 0.384 150.219254 2.598847 21.91
838592 0.6967 3.5 0.746 150.166672 2.54425 22.19
830888 0.3251 3.5 0.405 150.269226 2.380468 22.06
838965 0.3066 1.5 0.31 150.100937 2.572693 19.98
829252 0.44 4.5 0.422 150.585846 2.371041 19.53
829617 0.2479 4.5 0.237 150.51033 2.331816 20.91
827083 0.9031 2.5 0.9 149.660339 2.25897 22.29
827307 0.6316 4.5 0.568 149.618439 2.13286 20.71
837657 9.9999 20 0.429 150.333908 2.563436 21.64
838223 1.4014 13.4 0.583 150.23082 2.578165 20.05
844891 0.5339 4.5 0.514 150.32576 2.684695 21.53
830123 0 4.4 0.48 150.415115 2.308403 18.58
830142 0.1228 4.5 0.122 150.412476 2.4355 18.78
830641 0.0928 4.5 0.091 150.319366 2.451083 18.72
830727 0.2148 4.5 0.227 150.29921 2.295543 21.96
805756 0.546 1.5 0.599 150.095139 1.676857 22.36
830809 0.6671 3.5 0.58 150.283768 2.373592 21.93
831008 0.6969 4.5 0.615 150.247208 2.379886 20.54
831070 0.9143 3.5 0.867 150.234497 2.31129 21.86
831160 0.6693 4.5 0.698 150.214066 2.36751 21.44
831314 0.2177 2.5 0.23 150.183685 2.350875 21.93
831382 0.8524 22.5 0.844 150.168777 2.315447 21.39
830562 0.7502 1.5 0.772 150.335052 2.318766 22.14
830750 0.7188 2.5 0.737 150.294861 2.405737 22.45
831509 0.1063 3.5 0.119 150.141983 2.442701 21.71
831112 9.9999 0 0.346 150.224289 2.383919 21.3
831157 0.7501 4.5 0.754 150.215469 2.34706 22.11
831217 0.4161 4.5 0.401 150.203125 2.415718 22.01
831381 0.3752 4.5 0.366 150.168808 2.378807 21.8
831576 0.2512 4.5 0.262 150.127533 2.416867 19.74
831629 0.626 3.5 0.64 150.117538 2.396891 21.46
831650 0.2654 2.5 0.262 150.113266 2.45297 21.91
831684 0.2229 3.5 0.233 150.105942 2.443418 21.39
831717 9.9999 0 0.227 150.100769 2.295057 22.43
831763 0.2664 4.5 0.3 150.094757 2.35382 21.63
814484 0.2581 3.5 0.258 149.550995 1.902774 21.55
831820 0.7484 2.5 0.656 150.087585 2.404037 22.11
834906 0.3362 4.5 0.391 149.480255 2.454611 22.49
831857 0.3531 3.5 0.346 150.080658 2.390247 18.76
831929 9.9999 0 0.812 150.068481 2.326524 21.44
831956 1.3503 18.4 0.484 150.06456 2.329015 21.56
831978 0.2207 1.5 0.23 150.059677 2.323256 20.7
832784 0.5308 1.5 0.521 149.908142 2.452227 21.92
832090 9.9999 0 0.303 150.042603 2.307189 22.23
832163 0.371 3.5 0.408 150.029327 2.398149 19.65
832202 0.756 2.5 0.781 150.023209 2.385079 22.39
812068 0.753 3.5 0.72 150.111542 1.959503 21.97
832376 0.2836 4.5 0.277 149.989914 2.402548 19.85
832417 9.9999 0 1.043 149.981598 2.351931 21.39
832470 0.3802 3.5 0.38 149.971329 2.302819 20.83
832483 0.9446 9.5 0.915 149.967499 2.363407 22.2
811111 0.8106 3.5 0.803 150.308273 1.797955 21.54
832598 0.4267 3.5 0.436 149.944595 2.348472 20.48
832866 0.4874 1.1 0.139 149.892334 2.458205 22.42
833064 0.9268 2.5 0.886 149.853699 2.420725 21.61
833110 0.7018 2.5 0.72 149.846176 2.390177 22.08
833172 0.8418 3.5 0.812 149.835373 2.348455 22.19
835401 0.2598 3.5 0.265 150.770554 2.524054 18.66
833452 0.3465 4.5 0.356 149.77742 2.310882 21.95
833544 0.9029 1.5 0.858 149.76326 2.453352 22.19
833783 9.9999 0 0.776 149.712646 2.358996 22.47
833852 0.5069 4.5 0.51 149.699707 2.452216 22.03
834592 0.8428 2.5 0.767 149.558701 2.417059 22.34
836970 0.6732 4.5 0.665 150.458755 2.590879 19.91
837201 0.8269 4.5 0.808 150.41951 2.586629 21.46
837305 0.3247 4.5 0.323 150.401703 2.492294 20.32
827880 9.9999 0 0.826 149.47789 2.204974 21.7
827894 0.7662 21.5 0.817 149.475067 2.197636 21.43
829184 0.4111 2.5 0.391 150.598007 2.300137 20.66
845260 0.6616 3.5 0.681 150.243698 2.681419 21.77
845655 0.4343 4.5 0.436 150.159424 2.65177 19.77
845738 0.9979 9.5 0.934 150.145065 2.775949 22.29
850668 0.2554 4.5 0.271 150.264359 2.8019 20.42
851181 0.6969 4.5 0.694 150.102997 2.844166 21.13
851394 0.424 1.1 0.139 150.02478 2.833294 20.38
851553 0.3495 4.5 0.336 149.963943 2.803755 21.58
851888 0.6667 4.5 0.665 149.843552 2.843773 20.34
848653 0.6413 4.5 0.615 149.513199 2.643482 21.03
851986 0.4701 4.5 0.465 149.810028 2.830577 20.97
846196 0 23.4 0.215 150.069244 2.666979 20.35
852168 0.4923 3.5 0.568 149.76091 2.821486 21.87
806298 0.8647 9.5 0.84 149.96904 1.71005 20.91
852636 0.3448 3.5 0.366 149.593536 2.811641 19.2
950043 0.5125 1.1 0.265 150.113052 2.35989 21.87
847992 0.9565 1.5 0.973 149.68277 2.783954 21.71
950074 0.7077 3.5 0.636 149.700745 2.629294 20.79
804689 0.6863 3.5 0.707 150.311539 1.657124 20.44
700559 0.7237 3.1 0.521 150.094986 2.062308 22.19
700825 9.9999 0 0.853 150.507965 2.280195 22.48
700894 0.4258 2.5 0.429 150.297028 2.228867 22.43
700907 0.9563 3.5 0.934 150.194473 2.155097 22.5
807046 0.2037 4.5 0.206 149.801743 1.757206 20.91
848295 0.7382 1.5 0.72 149.601669 2.77667 21.63
848839 0.4282 4.5 0.44 149.467819 2.671832 18.7
800557 9.9999 0 1.785 150.478561 1.619601 22.23
801133 0.341 1.5 0.249 150.224915 1.618782 20.7
851162 1.0953 3.5 1.053 150.109772 2.79944 21.89
805110 0.7239 3.5 0.69 150.221741 1.645376 22
700616 0.6652 3.5 0.702 149.897202 2.066492 22.37
807638 0.8875 2.5 0.905 149.67038 1.781027 22.2
700627 0.8006 3.5 0.84 149.965836 2.112439 22.49
800821 0.227 3.5 0.262 150.33873 1.614216 19.86
