id_zcosmos,zpec,cc,alpha,delta,mag_sel,id_photzi25,fuv_photzi25,nuv_photzi25,u_photzi25,eu_photzi25,b_photzi25,eb_photzi25,v_photzi25,ev_photzi25,g_photzi25,eg_photzi25,r_photzi25,er_photzi25,i_photzi25,ei_photzi25,z_photzi25,ez_photzi25,j_photzi25,ej_photzi25,k_photzi25,ek_photzi25,ic_photzi25,efuv_photzi25,enuv_photzi25,eic_photzi25,flag_maskb_photzi25,flag_maskv_photzi25,flag_maski_photzi25,flag_maskz_photzi25,flag_maskd_photzi25
847284,1.003,2.5,149.850632,2.691914,22.15,1724621,26.2766044397387,26.3486044397387,25.666,0.117,25.22,0.09,24.426,0.052,25.096,0.077,23.748,0.035,22.545,0.02,21.691,0.015,21.397,0.018,19.941,0.01,22.564,0.661,0.787,0.126,0,0,0,0,0
847287,0.3328,4.5,149.84967,2.789026,20.83,1711635,24.1606044397387,23.4276044397387,23.138,0.028,22.486,0.022,21.71,0.013,22.453,0.019,21.466,0.012,21.159,0.01,20.855,0.01,20.783,0.01,20.235,0.012,21.156,0.103,0.064,0.04,0,0,0,0,0
847289,0.0,1.5,149.849304,2.63799,20.6,1733952,26.6396044397387,23.2826044397387,21.769,0.014,21.101,0.012,20.982,0.01,21.267,0.011,20.994,0.01,20.909,0.01,20.663,0.01,20.875,0.011,20.554,0.016,20.799,0.522,0.048,0.024,0,0,0,0,0
847292,0.0796,4.5,149.848846,2.740005,20.49,1718747,22.1626044397387,21.9496044397387,22.042,0.016,21.28,0.013,21.086,0.01,21.409,0.011,21.078,0.01,20.871,0.01,20.763,0.01,20.922,0.012,20.779,0.02,20.861,0.045,0.022,0.033,0,0,0,0,0
847293,0.6223,3.5,149.848785,2.769543,22.03,1714523,25.5956044397387,23.9086044397387,23.912,0.043,23.431,0.035,23.22,0.027,23.6,0.033,22.738,0.021,22.243,0.017,22.036,0.019,21.939,0.02,21.407,0.032,22.217,0.243,0.097,0.11,0,0,0,0,0
847295,0.1498,4.5,149.848328,2.735974,19.68,1719468,21.9756044397387,21.5966044397387,21.676,0.013,20.801,0.01,20.41,0.01,20.893,0.01,20.352,0.01,20.081,0.01,19.943,0.01,19.887,0.01,19.63,0.01,20.06,0.041,0.016,0.016,0,0,0,0,0
847296,0.702,3.5,149.848297,2.760827,21.87,1715650,26.5656044397387,24.7456044397387,24.407,0.057,23.734,0.04,23.192,0.027,23.76,0.036,22.579,0.02,21.777,0.013,21.429,0.013,21.088,0.011,20.2,0.012,21.779,0.589,0.184,0.071,0,0,0,0,0
847297,0.1229,3.5,149.848221,2.775874,22.27,1713437,24.4376044397387,24.2486044397387,23.919,0.043,23.057,0.029,22.716,0.021,23.149,0.026,22.672,0.021,22.446,0.019,22.274,0.022,23.129,0.049,22.355,0.073,22.427,0.096,0.102,0.128,0,0,0,0,0
847299,0.7435,2.5,149.847885,2.662861,21.67,1730162,-99,24.2696044397387,24.061,0.043,23.536,0.037,23.212,0.027,23.686,0.035,22.888,0.023,22.112,0.016,21.832,0.017,21.78,0.023,20.858,0.021,22.115,-99,0.117,0.083,0,0,0,0,0
847308,0.0477,3.1,149.84671,2.695294,22.13,1724687,-99,-99,23.847,0.037,23.282,0.032,23.116,0.025,23.362,0.029,23.031,0.024,22.869,0.023,22.38,0.021,22.189,0.025,21.81,0.036,22.788,-99,-99,0.114,0,0,0,0,0
847315,0.2594,3.5,149.844818,2.712544,18.34,1722932,24.4056044397387,24.6796044397387,22.864,0.023,21.55,0.014,20.207,0.01,21.285,0.011,19.814,0.01,19.396,0.01,18.895,0.01,18.494,0.01,17.822,0.01,19.209,0.106,0.168,0.01,0,0,0,0,0
