ds_spectra.NUM,ds_spectra.ID_IAU,ds_spectra.ALPHA,ds_spectra.DELTA,ds_spectra.Z,ds_spectra.ZFLAGS,ds_spectra.MAGI,ds_cfh12k.MAG_AUTO_U,ds_cfh12k.MAGERR_AUTO_U,ds_cfh12k.MAG_AUTO_B,ds_cfh12k.MAGERR_AUTO_B,ds_cfh12k.MAG_AUTO_V,ds_cfh12k.MAGERR_AUTO_V,ds_cfh12k.MAG_AUTO_R,ds_cfh12k.MAGERR_AUTO_R,ds_cfh12k.MAG_AUTO_I,ds_cfh12k.MAGERR_AUTO_I
140449224,VVDS-J135841.54+051425.7,209.673114,5.2404755,0.6190,3,21.9125,-99.9,-99.9,23.309702,0.054873,22.785837,0.0379,22.016693,0.020113,21.9125,0.0305
140449242,VVDS-J135945.00+051426.5,209.937512,5.2406977,0.1852,3,22.3467,-99.9,-99.9,22.860874,0.048302,22.343344,0.025027,22.438552,0.041909,22.3467,0.0413
140449363,VVDS-J135556.08+051422.4,208.983701,5.2395685,0.0000,4,20.0256,-99.9,-99.9,-99,-99,-99,-99,-99,-99,20.0256,0.0107
140449386,VVDS-J135847.19+051422.4,209.696636,5.2395696,0.5826,4,20.4801,-99.9,-99.9,24.139011,0.083437,22.362406,0.029199,21.110487,0.021052,20.4801,0.0135
140449400,VVDS-J140035.69+051429.7,210.148746,5.2415929,0.0000,4,21.8714,-99.9,-99.9,24.712036,0.166345,23.285143,0.062861,22.917116,0.028017,21.8714,0.0433
140449411,VVDS-J135955.50+051419.8,209.981289,5.2388405,0.7290,4,20.4448,-99.9,-99.9,25.005974,0.196898,22.534725,0.037439,21.48487,0.013659,20.4448,0.012
140449540,VVDS-J140218.35+051425.1,210.576463,5.2403087,0.0000,4,20.804,-99.9,-99.9,23.798124,0.061639,22.235321,0.024655,21.350898,0.010832,20.8036,0.0095
140449561,VVDS-J135701.03+051429.9,209.254313,5.241665,0.6586,4,21.7199,-99.9,-99.9,-99,-99,-99,-99,22.558992,0.029321,21.7199,0.0402
140449781,VVDS-J135933.52+051433.4,209.889688,5.2426314,0.0000,3,22.1076,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,22.1076,0.0336
140449861,VVDS-J135814.35+051433.8,209.559807,5.2427331,0.7288,3,22.1957,-99.9,-99.9,23.750025,0.062761,23.092035,0.042655,22.483654,0.027354,22.1957,0.0324
140449886,VVDS-J135546.71+051429.9,208.944663,5.2416434,0.3108,3,21.4281,-99.9,-99.9,-99,-99,-99,-99,-99,-99,21.4281,0.0262
140450072,VVDS-J135946.75+051436.4,209.94482,5.2434583,0.0000,4,21.5583,-99.9,-99.9,24.864744,0.184045,23.51535,0.047529,22.6322,0.027068,21.5583,0.0242
140450151,VVDS-J140205.39+051425.9,210.522472,5.2405462,0.4471,4,19.443,-99.9,-99.9,21.551229,0.020876,20.447138,0.010122,19.73237,0.004358,19.4427,0.0081
140450180,VVDS-J135730.61+051433.6,209.377559,5.2426722,0.0000,4,20.7798,-99.9,-99.9,-99,-99,-99,-99,20.593452,0.009383,20.7798,0.0145
140450379,VVDS-J140241.68+051437.2,210.673705,5.2436718,0.5616,4,22.3706,-99.9,-99.9,-99,-99,-99,-99,22.428602,0.03599,22.3706,0.0356
140450500,VVDS-J140235.50+051434.8,210.647924,5.2430096,0.8754,4,21.370,-99.9,-99.9,-99,-99,-99,-99,22.437561,0.021822,21.3703,0.0207
140450502,VVDS-J135549.24+051436.6,208.955189,5.2435151,0.6273,3,21.7264,-99.9,-99.9,-99,-99,-99,-99,-99,-99,21.7264,0.0308
140450646,VVDS-J135651.98+051440.8,209.216624,5.2446869,0.7201,3,21.8694,-99.9,-99.9,-99,-99,-99,-99,22.85486,0.062712,21.8694,0.0403
140450723,VVDS-J135849.20+051440.7,209.705012,5.2446427,0.4980,3,20.8479,-99.9,-99.9,22.804556,0.06062,21.816303,0.019274,21.133819,0.018067,20.8479,0.0155
140450751,VVDS-J140234.27+051441.0,210.642816,5.2447315,0.8767,4,22.395,-99.9,-99.9,-99,-99,-99,-99,23.34758,0.045267,22.3951,0.0581
140450934,VVDS-J135552.78+051437.7,208.969935,5.2438254,0.0000,4,19.8865,-99.9,-99.9,-99,-99,-99,-99,-99,-99,19.8865,0.0099
140450983,VVDS-J140236.81+051444.6,210.653409,5.2457264,0.8745,4,22.058,-99.9,-99.9,-99,-99,-99,-99,23.062887,0.033943,22.0585,0.0259
140450996,VVDS-J135739.13+051439.8,209.41306,5.2443919,0.1502,4,20.9057,-99.9,-99.9,-99,-99,21.625748,0.016251,20.992872,0.012786,20.9057,0.0178
140451060,VVDS-J135653.08+051441.9,209.221199,5.2449731,0.7261,3,22.3411,-99.9,-99.9,-99,-99,-99,-99,22.701791,0.039965,22.3411,0.07
140451083,VVDS-J135645.92+051443.7,209.191371,5.2454768,0.5473,4,21.4616,-99.9,-99.9,-99,-99,-99,-99,21.882185,0.020629,21.4616,0.0253
140451104,VVDS-J135941.53+051505.3,209.923083,5.2514933,0.5501,4,19.8342,-99.9,-99.9,22.124718,0.039691,21.279388,0.017386,20.367857,0.014818,19.8342,0.0104
140451215,VVDS-J135948.46+051439.6,209.951944,5.2443587,0.1855,3,19.1436,-99.9,-99.9,20.90962,0.013167,19.815657,0.007052,19.417139,0.004064,19.1436,0.0049
140451236,VVDS-J140237.19+051445.2,210.654982,5.2459076,0.7044,23,22.378,-99.9,-99.9,-99,-99,-99,-99,22.384807,0.030137,22.3783,0.0365
140451269,VVDS-J140142.89+051447.1,210.428711,5.2464376,0.6941,4,21.967,-99.9,-99.9,22.632549,0.03452,22.452646,0.027847,22.165048,0.015421,21.967,0.0463
140451454,VVDS-J140022.63+051450.8,210.094299,5.2474521,0.8064,4,22.3203,-99.9,-99.9,23.893583,0.095603,23.601034,0.06664,22.995945,0.043016,22.3203,0.0643
140451582,VVDS-J135804.31+051442.8,209.517974,5.245224,0.0000,3,19.5864,-99.9,-99.9,22.467903,0.028915,20.964825,0.010604,20.263979,0.007538,19.5864,0.0067
140451607,VVDS-J135844.31+051447.1,209.684648,5.2464292,0.6439,3,21.4015,-99.9,-99.9,23.061437,0.045258,22.413284,0.028336,21.174432,0.012004,21.4015,0.0199
140451624,VVDS-J135939.37+051446.2,209.914067,5.2461898,0.0000,4,18.7939,-99.9,-99.9,21.338756,0.017667,20.090189,0.006272,19.42896,0.006961,18.7939,0.0044
140451630,VVDS-J140304.28+051442.7,210.767859,5.2451948,0.0000,4,18.9308,-99.9,-99.9,-99,-99,-99,-99,19.131433,0.004525,18.9308,0.0041
140451659,VVDS-J135654.95+051450.5,209.228981,5.2473648,0.1787,4,22.2801,-99.9,-99.9,-99,-99,-99,-99,22.129068,0.03029,22.2801,0.0492
140451958,VVDS-J140337.79+051450.7,210.907499,5.2474197,0.6808,4,21.3359,-99.9,-99.9,-99,-99,-99,-99,22.088493,0.022533,21.3359,0.0155
140452015,VVDS-J140002.62+051450.6,210.010917,5.2474099,0.6617,4,21.3166,-99.9,-99.9,24.120054,0.100415,22.77767,0.043259,21.884178,0.01721,21.3166,0.0175
140452140,VVDS-J140228.52+051453.1,210.618834,5.2480923,0.1368,4,21.446,-99.9,-99.9,22.079517,0.022986,21.467678,0.017784,21.387344,0.011099,21.4457,0.0177
140452205,VVDS-J135744.67+051455.0,209.436125,5.2486319,0.6955,3,21.2951,-99.9,-99.9,-99,-99,23.011427,0.038547,22.085659,0.024391,21.2951,0.0255
140452232,VVDS-J135747.66+051450.2,209.448589,5.2472792,0.0000,3,18.6273,-99.9,-99.9,-99,-99,19.042139,0.003835,18.696241,0.00359,18.6273,0.0045
140452320,VVDS-J140243.03+051452.7,210.679293,5.2479834,0.5667,3,21.1734,-99.9,-99.9,-99,-99,-99,-99,21.4221,0.018792,21.1734,0.0233
