ds_spectra.NUM,ds_spectra.ID_IAU,ds_spectra.ALPHA,ds_spectra.DELTA,ds_spectra.Z,ds_spectra.ZFLAGS,ds_spectra.MAGI,ds_cfh12k.MAG_AUTO_U,ds_cfh12k.MAGERR_AUTO_U,ds_cfh12k.MAG_AUTO_B,ds_cfh12k.MAGERR_AUTO_B,ds_cfh12k.MAG_AUTO_V,ds_cfh12k.MAGERR_AUTO_V,ds_cfh12k.MAG_AUTO_R,ds_cfh12k.MAGERR_AUTO_R,ds_cfh12k.MAG_AUTO_I,ds_cfh12k.MAGERR_AUTO_I,MAG_AUTO_U,MAGERR_AUTO_U,MAG_AUTO_G,MAGERR_AUTO_G,MAG_AUTO_R,MAGERR_AUTO_R,MAG_AUTO_I,MAGERR_AUTO_I,MAG_AUTO_Z,MAGERR_AUTO_Z
020088501,VVDS-J022544.64-044859.9,36.4360274,-4.81665,1.0093,4,21.9868,-99.9,-99.9,25.5489,0.195,24.4202,0.0884,23.4236,0.0515,21.9868,0.03,26.114723,0.110100,25.079200,0.029900,23.606230,0.010300,22.373594,0.010000,21.564030,0.010000
020088592,VVDS-J022618.89-044856.5,36.5787373,-4.8156966,0.6956,4,22.6435,-99.9,-99.9,23.9358,0.0794,23.5615,0.0633,23.0701,0.0508,22.6435,0.0432,23.959993,0.014400,23.639547,0.010000,23.154343,0.010000,22.668155,0.010000,22.510924,0.011600
020088655,VVDS-J022738.13-044854.6,36.9088773,-4.8151745,1.0565,4,23.0176,-99.9,-99.9,23.8948,0.0696,23.6726,0.058,23.6649,0.0659,23.0176,0.0511,23.865613,0.013000,23.666262,0.010000,23.506372,0.010000,23.051420,0.010000,22.704286,0.014000
020088682,VVDS-J022504.86-044857.0,36.270286,-4.8158458,0.9154,3,21.7311,-99.9,-99.9,26.2786,0.2597,24.3045,0.0796,23.0775,0.0398,21.7311,0.0237,26.653354,0.198100,24.905110,0.028600,23.158731,0.010000,21.902928,0.010000,21.173297,0.010000
020088688,VVDS-J022716.13-044855.2,36.8172169,-4.8153561,1.1782,3,23.4119,-99.9,-99.9,25.1428,0.1786,24.4153,0.1175,23.8883,0.0935,23.4119,0.0903,24.939824,0.024700,24.751309,0.015200,24.294597,0.013200,23.849467,0.012000,23.389578,0.019500
020088697,VVDS-J022541.37-044900.6,36.4224038,-4.8168455,0.4851,4,20.6099,-99.9,-99.9,23.744,0.066,22.4287,0.0272,21.3144,0.0155,20.6099,0.0138,24.903129,0.043400,22.987513,0.010000,21.543721,0.010000,20.773416,0.010000,20.456541,0.010000
020088710,VVDS-J022708.11-044855.0,36.7838163,-4.8152827,0.8650,3,23.0593,-99.9,-99.9,26.582,0.5388,24.7337,0.1381,24.1428,0.1047,23.0593,0.0607,25.897846,0.100600,25.200996,0.037900,24.166460,0.019400,23.100297,0.010100,22.525750,0.014800
020088827,VVDS-J022737.56-044853.7,36.9065155,-4.8149363,0.6137,4,23.4064,-99.9,-99.9,25.1166,0.1607,24.3436,0.0989,23.836,0.081,23.4064,0.078,25.267101,0.049500,24.513007,0.017700,23.718179,0.011300,23.243999,0.010000,23.059347,0.020500
020088969,VVDS-J022506.33-044851.1,36.2763918,-4.8142071,1.1120,3,23.9874,-99.9,-99.9,24.729,0.0773,24.4202,0.0787,24.6833,0.1166,23.9874,0.1184,24.515378,0.021200,24.350420,0.013100,24.159216,0.014500,23.816169,0.014400,23.613775,0.029700
020089019,VVDS-J022740.05-044853.6,36.9169152,-4.8149146,1.0235,4,23.1575,-99.9,-99.9,24.256,0.0955,23.6843,0.0658,23.7771,0.0846,23.1575,0.0704,24.071160,0.019300,23.822383,0.011100,23.544243,0.011300,23.106402,0.010400,22.822143,0.019500
020089020,VVDS-J022636.57-044851.7,36.6523957,-4.8143863,0.5190,4,23.7011,-99.9,-99.9,24.6425,0.1135,24.2915,0.0987,24.0639,0.0958,23.7011,0.096,24.681304,0.024700,24.401839,0.012700,23.814834,0.010000,23.551115,0.010800,23.597092,0.028500
020089022,VVDS-J022710.30-044853.2,36.7929462,-4.8147787,0.4838,3,22.71,-99.9,-99.9,24.6692,0.1148,23.6841,0.0618,22.9685,0.0431,22.71,0.0436,24.687988,0.024500,24.006874,0.010000,23.049630,0.010000,22.619881,0.010000,22.403078,0.010000
020089035,VVDS-J022732.14-044851.5,36.8839358,-4.8143299,0.7230,4,23.0854,-99.9,-99.9,25.0434,0.1663,24.6645,0.1417,24.0999,0.1107,23.0854,0.0666,25.678624,0.084600,24.697563,0.025300,24.106631,0.019700,23.285454,0.012600,23.090302,0.025300
020089071,VVDS-J022555.06-044852.5,36.4794417,-4.8145844,0.6779,3,22.542,-99.9,-99.9,26.3457,0.4057,24.3894,0.0901,23.4784,0.055,22.542,0.033,26.262170,0.120400,24.944221,0.024200,23.744001,0.010600,22.751076,0.010000,22.338187,0.010000
020089124,VVDS-J022715.21-044851.8,36.8133839,-4.8143914,0.6532,4,22.7337,-99.9,-99.9,24.1798,0.0868,23.7835,0.0693,23.2311,0.0542,22.7337,0.0479,24.182318,0.018300,23.874481,0.010100,23.257551,0.010000,22.734007,0.010000,22.670608,0.015000
020089197,VVDS-J022544.21-044852.9,36.4342278,-4.8147161,0.9755,3,22.4748,-99.9,-99.9,23.547,0.0574,23.1784,0.0414,23.2679,0.0512,22.4748,0.0481,23.464223,0.010900,23.198400,0.010000,23.051130,0.010000,22.504594,0.010000,22.321430,0.011900
020089209,VVDS-J022802.98-044913.2,37.0124234,-4.8203537,0.8815,4,20.3098,-99.9,-99.9,26.122,0.5922,22.9611,0.053,21.6846,0.0249,20.3098,0.0105,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
020089225,VVDS-J022555.47-044853.0,36.4811274,-4.8147401,0.8532,4,22.2007,-99.9,-99.9,24.0518,0.0761,23.3129,0.0441,22.9564,0.0397,22.2007,0.0254,24.048323,0.017700,23.530585,0.010000,23.099075,0.010000,22.343056,0.010000,22.069072,0.010000
020089242,VVDS-J022624.26-044850.8,36.6011086,-4.8141273,0.5200,4,23.432,-99.9,-99.9,25.0684,0.2398,24.2876,0.1262,23.7225,0.0946,23.432,0.0702,24.928181,0.035600,24.474407,0.015700,23.726105,0.010500,23.391072,0.010700,23.408243,0.027400
020089271,VVDS-J022557.41-044902.9,36.4892138,-4.8174859,0.6022,3,22.3752,-99.9,-99.9,24.1411,0.0627,23.4625,0.0423,22.8894,0.0318,22.3752,0.03,24.579699,0.028600,23.791059,0.010000,22.929534,0.010000,22.392877,0.010000,22.219935,0.010000
